dep,sexe,jour,hosp,rea,rad,dc
1,0,18/03/2020,2,0,1,0
1,1,18/03/2020,1,0,1,0
1,2,18/03/2020,1,0,0,0
2,0,18/03/2020,41,10,18,11
2,1,18/03/2020,19,4,11,6
2,2,18/03/2020,22,6,7,5
3,0,18/03/2020,4,0,1,0
3,1,18/03/2020,1,0,0,0
3,2,18/03/2020,3,0,1,0
4,0,18/03/2020,3,1,2,0
4,1,18/03/2020,3,1,0,0
4,2,18/03/2020,0,0,2,0
5,0,18/03/2020,8,1,9,0
5,1,18/03/2020,1,0,7,0
5,2,18/03/2020,7,1,2,0
6,0,18/03/2020,25,1,47,2
6,1,18/03/2020,15,1,19,0
6,2,18/03/2020,10,0,28,2
7,0,18/03/2020,12,1,0,0
7,1,18/03/2020,7,1,0,0
7,2,18/03/2020,3,0,0,0
8,0,18/03/2020,0,0,1,0
8,1,18/03/2020,0,0,1,0
8,2,18/03/2020,0,0,0,0
9,0,18/03/2020,1,1,2,0
9,1,18/03/2020,0,0,1,0
9,2,18/03/2020,1,1,1,0
10,0,18/03/2020,5,0,0,0
10,1,18/03/2020,4,0,0,0
10,2,18/03/2020,1,0,0,0
11,0,18/03/2020,8,7,9,3
11,1,18/03/2020,6,5,2,2
11,2,18/03/2020,2,2,7,1
12,0,18/03/2020,7,2,1,0
12,1,18/03/2020,3,1,0,0
12,2,18/03/2020,4,1,1,0
13,0,18/03/2020,98,11,59,4
13,1,18/03/2020,50,6,35,2
13,2,18/03/2020,48,5,23,2
14,0,18/03/2020,4,1,0,0
14,1,18/03/2020,3,0,0,0
14,2,18/03/2020,1,1,0,0
15,0,18/03/2020,2,1,0,0
15,1,18/03/2020,2,1,0,0
15,2,18/03/2020,0,0,0,0
16,0,18/03/2020,1,0,0,0
16,1,18/03/2020,0,0,0,0
16,2,18/03/2020,1,0,0,0
17,0,18/03/2020,5,2,2,0
17,1,18/03/2020,5,2,2,0
17,2,18/03/2020,0,0,0,0
18,0,18/03/2020,0,0,0,0
18,1,18/03/2020,0,0,0,0
18,2,18/03/2020,0,0,0,0
19,0,18/03/2020,0,0,0,0
19,1,18/03/2020,0,0,0,0
19,2,18/03/2020,0,0,0,0
21,0,18/03/2020,60,16,4,0
21,1,18/03/2020,30,10,0,0
21,2,18/03/2020,30,6,4,0
22,0,18/03/2020,1,1,3,0
22,1,18/03/2020,1,1,1,0
22,2,18/03/2020,0,0,2,0
23,0,18/03/2020,0,0,0,0
23,1,18/03/2020,0,0,0,0
23,2,18/03/2020,0,0,0,0
24,0,18/03/2020,2,1,1,0
24,1,18/03/2020,1,1,1,0
24,2,18/03/2020,1,0,0,0
25,0,18/03/2020,26,3,8,1
25,1,18/03/2020,15,2,2,1
25,2,18/03/2020,11,1,6,0
26,0,18/03/2020,17,2,0,0
26,1,18/03/2020,10,1,0,0
26,2,18/03/2020,7,1,0,0
27,0,18/03/2020,0,0,0,0
27,1,18/03/2020,0,0,0,0
27,2,18/03/2020,0,0,0,0
28,0,18/03/2020,5,3,0,1
28,1,18/03/2020,1,1,0,1
28,2,18/03/2020,4,2,0,0
29,0,18/03/2020,13,5,3,0
29,1,18/03/2020,8,4,2,0
29,2,18/03/2020,5,1,1,0
2A,0,18/03/2020,0,0,0,0
2A,1,18/03/2020,0,0,0,0
2A,2,18/03/2020,0,0,0,0
2B,0,18/03/2020,0,0,0,0
2B,1,18/03/2020,0,0,0,0
2B,2,18/03/2020,0,0,0,0
30,0,18/03/2020,5,3,6,0
30,1,18/03/2020,5,3,1,0
30,2,18/03/2020,0,0,5,0
31,0,18/03/2020,23,5,11,0
31,1,18/03/2020,15,4,4,0
31,2,18/03/2020,8,1,7,0
32,0,18/03/2020,1,1,0,0
32,1,18/03/2020,1,1,0,0
32,2,18/03/2020,0,0,0,0
33,0,18/03/2020,7,4,3,1
33,1,18/03/2020,5,3,1,0
33,2,18/03/2020,2,1,2,1
34,0,18/03/2020,37,15,18,2
34,1,18/03/2020,18,7,9,1
34,2,18/03/2020,18,7,9,1
35,0,18/03/2020,7,3,0,0
35,1,18/03/2020,4,2,0,0
35,2,18/03/2020,3,1,0,0
36,0,18/03/2020,0,0,0,0
36,1,18/03/2020,0,0,0,0
36,2,18/03/2020,0,0,0,0
37,0,18/03/2020,4,1,0,0
37,1,18/03/2020,2,1,0,0
37,2,18/03/2020,2,0,0,0
38,0,18/03/2020,18,2,0,1
38,1,18/03/2020,10,1,0,1
38,2,18/03/2020,8,1,0,0
39,0,18/03/2020,2,1,1,0
39,1,18/03/2020,1,0,1,0
39,2,18/03/2020,1,1,0,0
40,0,18/03/2020,0,0,0,0
40,1,18/03/2020,0,0,0,0
40,2,18/03/2020,0,0,0,0
41,0,18/03/2020,0,0,0,0
41,1,18/03/2020,0,0,0,0
41,2,18/03/2020,0,0,0,0
42,0,18/03/2020,31,10,3,1
42,1,18/03/2020,21,9,2,1
42,2,18/03/2020,10,1,1,0
43,0,18/03/2020,1,1,5,0
43,1,18/03/2020,1,1,2,0
43,2,18/03/2020,0,0,3,0
44,0,18/03/2020,18,3,7,1
44,1,18/03/2020,14,3,3,0
44,2,18/03/2020,4,0,4,1
45,0,18/03/2020,5,1,0,0
45,1,18/03/2020,3,1,0,0
45,2,18/03/2020,2,0,0,0
46,0,18/03/2020,0,0,1,0
46,1,18/03/2020,0,0,0,0
46,2,18/03/2020,0,0,1,0
47,0,18/03/2020,10,4,1,0
47,1,18/03/2020,7,4,1,0
47,2,18/03/2020,3,0,0,0
48,0,18/03/2020,1,0,0,0
48,1,18/03/2020,0,0,0,0
48,2,18/03/2020,1,0,0,0
49,0,18/03/2020,12,1,26,0
49,1,18/03/2020,6,1,17,0
49,2,18/03/2020,6,0,9,0
50,0,18/03/2020,7,0,1,0
50,1,18/03/2020,4,0,0,0
50,2,18/03/2020,3,0,1,0
51,0,18/03/2020,35,7,6,1
51,1,18/03/2020,19,4,2,1
51,2,18/03/2020,16,3,4,0
52,0,18/03/2020,4,0,0,1
52,1,18/03/2020,2,0,0,0
52,2,18/03/2020,2,0,0,1
53,0,18/03/2020,4,0,2,0
53,1,18/03/2020,3,0,1,0
53,2,18/03/2020,1,0,1,0
54,0,18/03/2020,42,19,1,5
54,1,18/03/2020,23,13,0,2
54,2,18/03/2020,17,5,1,3
55,0,18/03/2020,11,3,0,0
